"No.","Time","Source","Destination","Protocol","Length","Info"
"205","3.127782900","192.168.2.1","192.168.2.255","UDP","104","9431  >  9431 Len=62"
"206","3.129840900","192.168.2.27","20.96.153.111","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"207","3.153382800","20.96.153.111","192.168.2.27","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"208","3.153382800","20.96.153.111","192.168.2.27","TLSv1.2","123","Application Data"
"209","3.153509800","192.168.2.27","20.96.153.111","TCP","54","55532  >  443 [ACK] Seq=638 Ack=8493 Win=261888 Len=0"
"210","3.155688300","20.96.153.111","192.168.2.27","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"211","3.155688300","20.96.153.111","192.168.2.27","TLSv1.2","123","Application Data"
"212","3.155801300","192.168.2.27","20.96.153.111","TCP","54","55533  >  443 [ACK] Seq=638 Ack=8493 Win=261888 Len=0"
"213","3.158672500","192.168.2.27","20.96.153.111","TLSv1.2","141","Application Data"
"214","3.158786300","192.168.2.27","20.96.153.111","TLSv1.2","141","Application Data"
"215","3.158885600","192.168.2.27","20.96.153.111","TLSv1.2","92","Application Data"
"216","3.158918200","192.168.2.27","20.96.153.111","TLSv1.2","92","Application Data"
"217","3.163703800","192.168.2.27","20.96.153.111","TCP","1494","55532  >  443 [ACK] Seq=763 Ack=8493 Win=261888 Len=1440 [TCP PDU reassembled in 219]"
"218","3.163703800","192.168.2.27","20.96.153.111","TCP","1494","55532  >  443 [ACK] Seq=2203 Ack=8493 Win=261888 Len=1440 [TCP PDU reassembled in 219]"
"219","3.163703800","192.168.2.27","20.96.153.111","TLSv1.2","426","Application Data"
"220","3.163882700","192.168.2.27","20.96.153.111","TCP","1494","55532  >  443 [ACK] Seq=4015 Ack=8493 Win=261888 Len=1440 [TCP PDU reassembled in 222]"
"221","3.163882700","192.168.2.27","20.96.153.111","TCP","1494","55532  >  443 [ACK] Seq=5455 Ack=8493 Win=261888 Len=1440 [TCP PDU reassembled in 222]"
"222","3.163882700","192.168.2.27","20.96.153.111","TLSv1.2","349","Application Data"
"223","3.180739600","20.96.153.111","192.168.2.27","TLSv1.2","92","Application Data"
"224","3.180739600","20.96.153.111","192.168.2.27","TCP","54","443  >  55532 [ACK] Seq=8493 Ack=763 Win=261632 Len=0"
"225","3.180864600","192.168.2.27","20.96.153.111","TCP","54","55532  >  443 [ACK] Seq=7190 Ack=8531 Win=261888 Len=0"
"226","3.184785400","20.96.153.111","192.168.2.27","TLSv1.2","92","Application Data"
"227","3.184905700","192.168.2.27","20.96.153.111","TCP","54","55533  >  443 [ACK] Seq=763 Ack=8531 Win=261888 Len=0"
"228","3.186565300","20.96.153.111","192.168.2.27","TCP","54","443  >  55533 [ACK] Seq=8493 Ack=763 Win=261632 Len=0"
